year,Winners (Q5),Losers (Q1),SPY
2016,1.008509306336357,1.320907553824467,1.1199794633225673
2017,1.289672761683239,1.6594899456252428,1.363075564028086
2018,1.333383430011737,1.5052084863182384,1.300796619771989
2019,1.680337757897478,2.064221218152485,1.706955462364803
2020,2.2128082651668555,1.5861968605705608,2.019867942575936
2021,2.905269317791897,2.452227347547112,2.600151457110559
2022,3.124032772904745,2.2837588752711575,2.1275641846437865
2023,3.021441747583905,3.5118391830590903,2.684471023821377
