year,strategy,annual_return
2016,winner_return,0.008509306336357103
2017,winner_return,0.27879113616538975
2018,winner_return,0.03389283671576354
2019,winner_return,0.26020596932323276
2020,winner_return,0.31688302233690846
2021,winner_return,0.3129331463215711
2022,winner_return,0.07529885569407933
2023,winner_return,-0.032839292279719025
2016,loser_return,0.32090755382446695
2017,loser_return,0.25632557768366676
2018,loser_return,-0.09296920400977553
2019,loser_return,0.3713855834028676
2020,loser_return,-0.2315761282648594
2021,loser_return,0.5459791962171942
2022,loser_return,-0.0687001849336966
2023,loser_return,0.537745171386414
